domain,problem,mcts_time,mcts_plan_length,hsp_time,hsp_plan_length
logistics,p01,397.00,20,151.00,20 
logistics,p02,238.00,19,167.00,19 
logistics,p03,114.00,17,58.00,15 
logistics,p04,339.00,38,236.00,27 
logistics,p05,266.00,28,47.00,17 
gripper,p01,179.00,9,62.00,9 
gripper,p02,463.00,19,790.00,13 
gripper,p03,1035.00,22,55324.00,17 
blocks,p001,10.00,6,7.00,6 
blocks,p002,7.00,0,5.00,10 
blocks,p003,7.00,8,4.00,6 
blocks,p004,9.00,0,12.00,12 
blocks,p005,12.00,0,7.00,10 
blocks,p006,11.00,0,7.00,16 
blocks,p007,268.00,12,10.00,12 
blocks,p008,70.00,12,8.00,10 
blocks,p009,70.00,0,34.00,20 
blocks,p010,72.00,0,47.00,20 
blocks,p011,71.00,0,139.00,22 
