domain,problem,mcts_time,mcts_plan_length,hsp_time,hsp_plan_length
blocks,p001,208.00,14,44.00,6 
blocks,p002,105.00,34,22.00,10 
blocks,p003,53.00,20,15.00,6 
blocks,p004,62.00,28,18.00,12 
blocks,p005,55.00,56,37.00,10 
blocks,p006,51.00,52,19.00,16 
blocks,p007,154.00,32,25.00,12 
blocks,p008,53.00,30,10.00,10 
blocks,p009,56.00,48,78.00,20 
blocks,p010,638.00,50,61.00,20 
blocks,p011,596.00,44,161.00,22 
gripper,p01,40.00,17,54.00,9 
gripper,p02,53.00,33,770.00,13 
gripper,p03,68.00,72,50415.00,17 
logistics,p01,73.00,58,34.00,20 
logistics,p02,52.00,50,60.00,19 
logistics,p03,65.00,48,30.00,15 
logistics,p04,74.00,63,252.00,27 
logistics,p05,53.00,29,49.00,17 
logistics,p06,27.00,17,14.00,8 
logistics,p07,76.00,73,295.00,26 
logistics,p08,42.00,36,14.00,14 
logistics,p09,51.00,61,70.00,25 
logistics,p10,75.00,82,146.00,24 
logistics,p11,272.00,119,3576.00,36 
